Time (s);PKPK (V);RMS (V);Frequency (Hz)
1.740.505.450.385;3.08;2.15;999.99
1.740.505.452.073;3.08;2.15;1000
1.740.505.453.644;3.04;2.15;1000
1.740.505.455.269;3.08;2.15;999.99
1.740.505.456.886;3.08;2.15;999.99
