Time (s);PKPK (V);RMS (V);Frequency (Hz)
17.405.049.662.591.200;3.040000E+00V;2.150000E+00V;9.999900E+02Hz
17.405.049.677.770.300;3.040000E+00V;2.150000E+00V;9.999900E+02Hz
1.740.504.969.348.280;3.080000E+00V;2.150000E+00V;9.999900E+02Hz
17.405.049.708.947.800;3.040000E+00V;2.150000E+00V;1.000000E+03Hz
17.405.049.724.637.900;3.080000E+00V;2.150000E+00V;1.000000E+03Hz
