Time (s),PKPK (V),RMS (V),Frequency (Hz)
1740504708.2451134,"3.080000E+00V
","2.150000E+00V
","1.000000E+03Hz
"
1740504709.902758,"3.080000E+00V
","2.150000E+00V
","1.000000E+03Hz
"
1740504711.5169349,"3.080000E+00V
","2.150000E+00V
","9.999900E+02Hz
"
1740504713.1256745,"3.080000E+00V
","2.150000E+00V
","1.000000E+03Hz
"
1740504714.7025285,"3.080000E+00V
","2.150000E+00V
","9.999900E+02Hz
"
