Time (s);PKPK (V);RMS (V);Frequency (Hz)
1.740.505.373.803;3.08;2.15;1,00E+03
1.740.505.375.305;3.04;2.15;1,00E+03
1.740.505.376.951;3.08;2.15;1,00E+03
1.740.505.378.478;3.08;2.15;1,00E+03
1.740.505.380.014;3.08;2.15;1,00E+03
